cards,evo,hero,weight,label
26000007|26000016|26000044|26000055|26000096|26000103|28000007|28000026,26000007|26000055,,0.001522,Mega Knight / Boss Bandit
26000009|26000015|26000023|26000027|26000048|28000007|28000012|28000015,26000015,26000023|26000027,0.001522,Golem / Lightning
26000003|26000013|26000016|26000027|26000039|28000002|28000007|28000008,26000013|28000008,26000003,0.001522,Lightning / Giant
26000012|26000036|26000069|26000080|27000010|28000002|28000005|28000024,26000036|27000010,,0.001499,Battle Ram / Freeze
26000004|26000014|26000028|26000063|26000068|26000083|27000007|28000002,26000014|26000063,,0.001499,Three Musketeers / P.E.K.K.A
26000047|26000052|26000057|26000059|26000084|27000012|28000000|28000015,26000047|27000012,28000015,0.001499,Royal Recruits / Royal Hogs
26000006|26000009|26000017|26000034|26000047|26000054|26000064|27000003,26000017|26000064,26000034,0.001476,Golem / Royal Recruits
26000008|26000012|26000014|26000016|26000021|27000001|27000005|28000001,,,0.001476,Barbarian Hut / Barbarians
26000033|26000051|26000055|26000062|26000080|26000103|28000005|28000006,26000055,26000062,0.001476,Mega Knight / Boss Bandit
26000021|26000025|26000044|26000045|26000050|26000103|28000005|28000017,26000045|28000017,,0.001454,Boss Bandit / Executioner
26000014|26000032|26000039|26000053|26000055|26000057|27000002|28000024,26000055|27000002,26000014,0.001454,Mega Knight / Rascals
26000004|26000013|26000042|26000060|26000096|28000002|28000024|28000026,26000004|26000060,,0.001454,P.E.K.K.A / Goblin Giant
26000017|26000032|26000035|26000037|26000101|26000103|28000002|28000012,26000017|26000037,,0.001454,Boss Bandit / Wizard
26000040|26000049|26000051|26000055|26000097|27000009|28000002|28000025,26000049|26000055,,0.001454,Mega Knight / Spirit Empress
26000003|26000005|26000017|26000018|26000033|28000008|28000012|28000026,26000017|28000008,26000018,0.001454,Sparky / Giant
26000006|26000032|26000037|26000038|26000039|27000012|28000000|28000008,26000037|28000008,26000039,0.001454,Balloon / Fireball
26000036|26000047|26000052|26000061|26000069|27000010|28000000|28000001,26000036|27000010,,0.001454,Royal Recruits / Battle Ram
26000011|26000023|26000025|26000099|27000012|28000009|28000010|28000015,26000011|27000012,,0.001431,Goblinstein / Graveyard
26000001|26000059|26000077|26000080|26000084|27000001|28000000|28000015,26000001|26000059,,0.001431,Monk / Royal Hogs
26000008|26000016|26000017|26000018|26000049|26000083|28000005|28000023,26000049,26000017|26000018,0.001431,Barbarians / Prince
26000039|26000040|26000043|26000064|26000072|26000097|28000000|28000016,26000040|26000064,,0.001431,Elite Barbarians / Archer Queen
26000021|26000022|26000025|26000043|26000045|26000103|28000005|28000008,26000022|26000043,,0.001431,Boss Bandit / Elite Barbarians
26000017|26000036|26000038|26000039|26000064|26000102|28000007|28000026,26000017|26000064,26000039,0.001431,Lightning / Wizard
26000027|26000033|26000042|26000043|26000060|28000002|28000008|28000016,26000043|26000060,26000027,0.001431,Elite Barbarians / Goblin Giant
26000010|26000016|26000023|26000041|26000097|28000002|28000004|28000024,26000010|28000004,26000023,0.001431,Prince / Goblin Barrel
26000047|26000052|26000059|26000063|26000072|26000083|27000012|28000001,26000059|26000063,,0.001408,Royal Recruits / Archer Queen
26000023|26000041|26000054|26000056|26000102|27000002|28000000|28000015,26000056|27000002,26000102,0.001408,Cannon Cart / Fireball
26000007|26000039|26000060|26000061|27000005|28000000|28000002|28000026,26000007|26000060,26000039,0.001408,Barbarian Hut / Goblin Giant
26000000|26000010|26000013|26000031|27000000|27000013|28000003|28000017,27000000|28000017,26000000,0.001408,Rocket / Goblin Drill
26000006|26000007|26000008|26000024|26000037|26000055|26000074|26000095,26000024|26000055,,0.001408,Mega Knight / Royal Giant
26000005|26000016|26000026|26000027|26000028|26000038|26000055|26000074,26000055,26000027,0.001386,Three Musketeers / Mega Knight
26000001|26000006|26000033|26000056|26000068|27000002|27000012|28000012,26000001|26000056,26000006,0.001386,Sparky / Balloon
26000009|26000022|26000025|26000035|26000063|26000068|26000074|28000012,26000022|26000063,,0.001386,Golem / Electro Dragon
26000036|26000043|26000046|26000050|26000072|27000007|28000001|28000016,26000036|26000043,,0.001386,Elite Barbarians / Elixir Collector
26000013|26000015|26000025|26000029|26000057|27000012|28000001|28000007,26000013|27000012,,0.001363,Lava Hound / Lightning
26000036|26000042|26000046|26000055|26000074|26000080|26000083|28000001,26000036|26000055,,0.001363,Mega Knight / Battle Ram
26000008|26000017|26000037|26000057|26000059|26000103|28000005|28000009,26000008|26000017,,0.001363,Boss Bandit / Barbarians
26000037|26000063|26000067|26000068|26000087|27000004|28000006|28000012,26000063,,0.001363,Electro Dragon / Battle Healer
26000001|26000025|26000028|26000030|26000045|26000077|27000012|28000017,26000045|28000017,,0.001363,Three Musketeers / Executioner
26000000|26000010|26000013|26000031|27000006|27000013|28000009|28000017,27000013|28000017,26000000,0.001340,Goblin Drill / Poison
26000000|26000010|26000013|26000031|27000000|27000013|28000009|28000017,27000013|28000017,26000000,0.001340,Goblin Drill / Poison
26000007|26000009|26000037|26000048|26000067|26000069|28000001|28000002,26000007|26000037,,0.001340,Golem / Witch
26000004|26000005|26000036|26000046|26000074|26000083|28000000|28000008,26000004|26000036,,0.001340,P.E.K.K.A / Battle Ram
26000010|26000023|26000084|26000099|26000107|27000006|28000007|28000015,26000010,26000023,0.001340,Lightning / Goblinstein
26000004|26000016|26000017|26000022|26000055|26000067|28000001|28000002,26000022|26000055,26000017,0.001340,Mega Knight / P.E.K.K.A
26000005|26000018|26000019|26000021|26000026|26000032|28000008|28000023,26000026|28000008,26000018,0.001317,Void / Hog Rider
26000000|26000012|26000026|26000030|26000040|27000000|28000004|28000011,26000012|28000004,26000000,0.001317,Cannon / Dart Goblin
26000033|26000037|26000063|26000068|27000007|28000005|28000006|28000016,26000063,,0.001317,Elixir Collector / Sparky
26000007|26000034|26000048|26000051|26000055|28000006|28000010|28000025,26000007|26000055,26000034,0.001317,Mega Knight / Spirit Empress
26000010|26000022|26000040|26000054|26000099|27000002|28000000|28000015,26000022|27000002,,0.001317,Cannon Cart / Goblinstein
26000000|26000010|26000062|26000095|27000004|27000013|28000011|28000012,27000013,26000000|26000062,0.001295,Bomb Tower / Goblin Demolisher
26000019|26000034|26000035|26000045|26000056|26000063|26000067|28000009,26000035|26000063,26000034,0.001295,Bowler / Electro Dragon
26000019|26000021|26000025|26000027|26000049|26000050|26000058|26000080,26000050|26000058,,0.001295,Dark Prince / Hog Rider
26000047|26000052|26000057|26000059|27000012|28000000|28000001|28000015,26000047|26000059,28000015,0.001295,Royal Recruits / Royal Hogs
26000004|26000014|26000017|26000020|26000080|28000013|28000024|28000026,26000004|26000017,26000014,0.001295,P.E.K.K.A / Giant Skeleton
26000024|26000032|26000040|26000064|26000074|26000097|26000102|27000009,26000024|26000064,,0.001295,Royal Giant / Golden Knight
26000007|26000019|26000043|26000072|26000085|28000007|28000016|28000017,26000007|28000017,,0.001295,Electro Giant / Elite Barbarians
26000010|26000014|26000021|26000030|26000038|27000000|28000000|28000011,26000010|27000000,26000038,0.001295,Fireball / Hog Rider
26000009|26000015|26000035|26000039|26000048|28000007|28000012|28000015,26000015|26000035,26000039,0.001295,Golem / Lightning
26000012|26000015|26000018|26000024|27000003|28000007|28000012|28000023,26000015|26000024,,0.001295,Lightning / Royal Giant
26000004|26000005|26000036|26000042|26000050|26000074|28000000|28000008,26000004|26000036,,0.001295,P.E.K.K.A / Battle Ram
26000020|26000041|26000044|26000056|26000072|26000074|28000013|28000017,26000044,,0.001272,Giant Skeleton / Archer Queen
26000016|26000030|26000040|26000049|26000058|26000097|26000103|28000002,26000040|26000058,,0.001272,Boss Bandit / Prince
26000015|26000018|26000063|26000067|26000068|27000007|28000006|28000012,26000015|26000063,26000018,0.001272,Elixir Collector / Electro Dragon
26000004|26000042|26000045|26000061|26000103|27000002|28000012|28000026,26000004|27000002,,0.001272,P.E.K.K.A / Boss Bandit
26000010|26000023|26000030|26000099|27000001|28000009|28000010|28000015,26000010,26000023,0.001272,Goblinstein / Graveyard
26000018|26000026|26000038|26000041|26000049|26000059|28000000|28000011,26000049|26000059,26000018,0.001272,Royal Hogs / Fireball
26000010|26000014|26000021|26000038|26000084|27000000|28000003|28000011,26000010|27000000,26000014,0.001272,Rocket / Hog Rider
26000003|26000013|26000016|26000035|26000039|28000000|28000002|28000008,26000035,26000003|26000039,0.001272,Giant / Prince
26000010|26000027|26000032|26000084|27000006|28000003|28000011|28000018,26000010|27000006,26000027,0.001249,Rocket / Dark Prince
